Translation Label	English Text
GRID_CONTROL.SELECT_AGGREGATE	Aggregatie selecteren
GRID_CONTROL.FILTER.TITLE	Filters
GRID_CONTROL.GROUP.TITLE	Groepeer velden
GRID_CONTROL.PIVOT.TITLE	Pivot-velden
GRID_CONTROL.AGGREGATE.TITLE	Aggregatie
GRID_CONTROL.FIELD.REMOVE	Verwijderen
GRID_CONTROL.FIELD.SHOW_FUNCTIONS	Toon beschikbare functies voor dit veld
GRID_CONTROL.AGGREGATE.EDIT_OPTIONS	Opties bewerken
GRID_CONTROL.AGGREGATE.OPTIONS_DIALOG.TITLE	Opties voor %s
GRID_CONTROL.OPERATIONS.TITLE	Bewerkingen
	
// Aggregate function names	
	
AGGREGATE.NAME.COUNT	Aantal
AGGREGATE.NAME.COUNT_DISTINCT	Unieke telling
AGGREGATE.NAME.VALUES	Waarden
AGGREGATE.NAME.VALUES_WITH_COUNTS	Waarden met aantallen
AGGREGATE.NAME.DISTINCT_VALUES	Unieke waarden
AGGREGATE.NAME.SUM	Som
AGGREGATE.NAME.AVERAGE	Gemiddelde
AGGREGATE.NAME.MIN	Min
AGGREGATE.NAME.MAX	Max
AGGREGATE.NAME.FIRST	Eerste
AGGREGATE.NAME.LAST	Laatste
AGGREGATE.NAME.NTH	N-de
AGGREGATE.NAME.SUM_OVER_SUM	Som/Som
AGGREGATE.NAME.COUNT_OVER_COUNT	Aantal/Aantal
	
AGGREGATE.FIELD.NUMERATOR	Teller
AGGREGATE.FIELD.DENOMINATOR	Noemer
	
AGGREGATE.HEADER_DISPLAY	%s van %s
	
// Grid Table Output	
	
GRID.TABLE.SORT_MENU.TOOLTIP	Klik om te sorteren
GRID.TABLE.SORT_MENU.ASCENDING	%s, oplopend
GRID.TABLE.SORT_MENU.DESCENDING	%s, aflopend
GRID.TABLE.SORT_MENU.RESET_SORT	Sortering resetten
	
GRID.TABLE.DRAGGABLE_FIELD_HELP	U kunt dit veld slepen en neerzetten in de bovenstaande rasterbediening om te filteren, groeperen of pivoteren.
GRID.TABLE.ADD_FILTER_HELP	Klik om een filter toe te voegen voor "%s"
	
// Group Functions	
	
GRID.GROUP_FUN.DIALOG.TITLE	Functie toepassen op %s
GRID.GROUP_FUN.DIALOG.REPEATING	Herhalend
GRID.GROUP_FUN.DIALOG.DATE	Datum
GRID.GROUP_FUN.DIALOG.DATE_TIME	Datum & tijd
GRID.GROUP_FUN.DIALOG.TIME	Tijd
GRID.GROUP_FUN.DIALOG.OTHER	Overig
	
GRID.GROUP_FUN.NONE	Geen
GRID.GROUP_FUN.REPEATING.QUARTER	Kwartaal
GRID.GROUP_FUN.REPEATING.MONTH	Maand
GRID.GROUP_FUN.REPEATING.WEEK	Week (ISO)
GRID.GROUP_FUN.REPEATING.DAY_OF_WEEK	Dag van de week
GRID.GROUP_FUN.DATE.YEAR	Jaar
GRID.GROUP_FUN.DATE.YEAR_AND_QUARTER	Jaar & kwartaal
GRID.GROUP_FUN.DATE.YEAR_AND_MONTH	Jaar & maand
GRID.GROUP_FUN.DATE.YEAR_AND_WEEK	Jaar & week (ISO)
GRID.GROUP_FUN.DATE.FULL_DATE	Volledige datum (geen tijd)
GRID.GROUP_FUN.DATE_TIME.SLICE.1HR	Datum & tijd: 1 uur intervallen
GRID.GROUP_FUN.DATE_TIME.SLICE.15MIN	Datum & tijd: 15 min intervallen
GRID.GROUP_FUN.TIME.SLICE.1HR	Tijd: 1 uur intervallen
GRID.GROUP_FUN.TIME.SLICE.15MIN	Tijd: 15 min intervallen
	
GRID.TEMPLATE_EDITOR.TITLE	Sjabloonbewerker
GRID.TEMPLATE_EDITOR.PLAIN	Plat
GRID.TEMPLATE_EDITOR.GROUPED	Gegroepeerd
GRID.TEMPLATE_EDITOR.PIVOTTED	Gepivot
GRID.TEMPLATE_EDITOR.CONFIG.BEFORE	Voor
GRID.TEMPLATE_EDITOR.CONFIG.BEFORE_GROUP	Voor groep
GRID.TEMPLATE_EDITOR.CONFIG.ITEM	Item
GRID.TEMPLATE_EDITOR.CONFIG.AFTER_GROUP	Na groep
GRID.TEMPLATE_EDITOR.CONFIG.AFTER	Na
GRID.TEMPLATE_EDITOR.CONFIG.EMPTY	Leeg
	
CALENDAR.DAY.MONDAY	Maandag
CALENDAR.DAY.TUESDAY	Dinsdag
CALENDAR.DAY.WEDNESDAY	Woensdag
CALENDAR.DAY.THURSDAY	Donderdag
CALENDAR.DAY.FRIDAY	Vrijdag
CALENDAR.DAY.SATURDAY	Zaterdag
CALENDAR.DAY.SUNDAY	Zondag
	
CALENDAR.MONTH.JANUARY	Januari
CALENDAR.MONTH.FEBRUARY	Februari
CALENDAR.MONTH.MARCH	Maart
CALENDAR.MONTH.APRIL	April
CALENDAR.MONTH.MAY	Mei
CALENDAR.MONTH.JUNE	Juni
CALENDAR.MONTH.JULY	Juli
CALENDAR.MONTH.AUGUST	Augustus
CALENDAR.MONTH.SEPTEMBER	September
CALENDAR.MONTH.OCTOBER	Oktober
CALENDAR.MONTH.NOVEMBER	November
CALENDAR.MONTH.DECEMBER	December
	
FILTER.DATE.OPERATOR.ON	op
FILTER.DATE.OPERATOR.BETWEEN	tussen
FILTER.DATE.OPERATOR.BEFORE	voor
FILTER.DATE.OPERATOR.AFTER	na
FILTER.DATE.OPERATOR.EVERY	iedere
FILTER.DATE.OPERATOR.CURRENT	huidig
FILTER.DATE.OPERATOR.LAST	laatste
FILTER.DATE.OPERATOR.AND	en
FILTER.STRING.OPERATOR.IN	in
FILTER.STRING.OPERATOR.NOT_IN	niet in
FILTER.STRING.OPERATOR.BLANK	leeg
FILTER.STRING.OPERATOR.NOT_BLANK	niet leeg
	
CALENDAR.DATE	datum
CALENDAR.DAY	dag
CALENDAR.WEEK	week
CALENDAR.MONTH	maand
CALENDAR.QUARTER	kwartaal
CALENDAR.YEAR	jaar
	
DATA.NO_DATA	Geen gegevens
DATA.NOTHING_TO_GRAPH	Niets om te grafieken
	
PREFS.MAIN_PERSPECTIVE	Hoofdperspectief
