Translation Label	English Text
AGGREGATE.NAME.MAX	最大值
AGGREGATE.NAME.FIRST	第一个
AGGREGATE.NAME.LAST	最后一个
AGGREGATE.NAME.NTH	第 N 个
AGGREGATE.NAME.SUM_OVER_SUM	求和/求和
AGGREGATE.NAME.COUNT_OVER_COUNT	计数/计数

AGGREGATE.FIELD.NUMERATOR	分子
AGGREGATE.FIELD.DENOMINATOR	分母

AGGREGATE.HEADER_DISPLAY	%s 的 %s
	
// Grid Table Output	
	
GRID.TABLE.SORT_MENU.TOOLTIP	点击排序
GRID.TABLE.SORT_MENU.ASCENDING	%s，升序
GRID.TABLE.SORT_MENU.DESCENDING	%s，降序
GRID.TABLE.SORT_MENU.RESET_SORT	重置排序

GRID.TABLE.DRAGGABLE_FIELD_HELP	你可以将此字段拖放到上方表格控件中以进行筛选、分组或透视。
GRID.TABLE.ADD_FILTER_HELP	点击为“%s”添加筛选器

// Group Functions

GRID.GROUP_FUN.DIALOG.TITLE	对 %s 应用函数
GRID.GROUP_FUN.DIALOG.REPEATING	重复
GRID.GROUP_FUN.DIALOG.DATE	日期
GRID.GROUP_FUN.DIALOG.DATE_TIME	日期和时间
GRID.GROUP_FUN.DIALOG.TIME	时间
GRID.GROUP_FUN.DIALOG.OTHER	其他

GRID.GROUP_FUN.NONE	无
GRID.GROUP_FUN.REPEATING.QUARTER	季度
GRID.GROUP_FUN.REPEATING.MONTH	月份
GRID.GROUP_FUN.REPEATING.WEEK	周（ISO）
GRID.GROUP_FUN.REPEATING.DAY_OF_WEEK	星期几
GRID.GROUP_FUN.DATE.YEAR	年份
GRID.GROUP_FUN.DATE.YEAR_AND_QUARTER	年和季度
GRID.GROUP_FUN.DATE.YEAR_AND_MONTH	年和月份
GRID.GROUP_FUN.DATE.YEAR_AND_WEEK	年和周（ISO）
GRID.GROUP_FUN.DATE.FULL_DATE	完整日期（无时间）
GRID.GROUP_FUN.DATE_TIME.SLICE.1HR	日期和时间：1 小时分段
GRID.GROUP_FUN.DATE_TIME.SLICE.15MIN	日期和时间：15 分钟分段
GRID.GROUP_FUN.TIME.SLICE.1HR	时间：1 小时分段
GRID.GROUP_FUN.TIME.SLICE.15MIN	时间：15 分钟分段

GRID.TEMPLATE_EDITOR.TITLE	模板编辑器
GRID.TEMPLATE_EDITOR.PLAIN	普通
GRID.TEMPLATE_EDITOR.GROUPED	分组
GRID.TEMPLATE_EDITOR.PIVOTTED	透视
GRID.TEMPLATE_EDITOR.CONFIG.BEFORE	之前
GRID.TEMPLATE_EDITOR.CONFIG.BEFORE_GROUP	分组前
GRID.TEMPLATE_EDITOR.CONFIG.ITEM	项目
GRID.TEMPLATE_EDITOR.CONFIG.AFTER_GROUP	分组后
GRID.TEMPLATE_EDITOR.CONFIG.AFTER	之后
GRID.TEMPLATE_EDITOR.CONFIG.EMPTY	空

CALENDAR.DAY.MONDAY	星期一
CALENDAR.DAY.TUESDAY	星期二
CALENDAR.DAY.WEDNESDAY	星期三
CALENDAR.DAY.THURSDAY	星期四
CALENDAR.DAY.FRIDAY	星期五
CALENDAR.DAY.SATURDAY	星期六
CALENDAR.DAY.SUNDAY	星期日

CALENDAR.MONTH.JANUARY	一月
CALENDAR.MONTH.FEBRUARY	二月
CALENDAR.MONTH.MARCH	三月
CALENDAR.MONTH.APRIL	四月
CALENDAR.MONTH.MAY	五月
CALENDAR.MONTH.JUNE	六月
CALENDAR.MONTH.JULY	七月
CALENDAR.MONTH.AUGUST	八月
CALENDAR.MONTH.SEPTEMBER	九月
CALENDAR.MONTH.OCTOBER	十月
CALENDAR.MONTH.NOVEMBER	十一月
CALENDAR.MONTH.DECEMBER	十二月

FILTER.DATE.OPERATOR.ON	在
FILTER.DATE.OPERATOR.BETWEEN	介于
FILTER.DATE.OPERATOR.BEFORE	早于
FILTER.DATE.OPERATOR.AFTER	晚于
FILTER.DATE.OPERATOR.EVERY	每
FILTER.DATE.OPERATOR.CURRENT	当前
FILTER.DATE.OPERATOR.LAST	最近
FILTER.DATE.OPERATOR.AND	和
FILTER.STRING.OPERATOR.IN	属于
FILTER.STRING.OPERATOR.NOT_IN	不属于
FILTER.STRING.OPERATOR.BLANK	空白
FILTER.STRING.OPERATOR.NOT_BLANK	非空白

CALENDAR.DATE	日期
CALENDAR.DAY	天
CALENDAR.WEEK	周
CALENDAR.MONTH	月
CALENDAR.QUARTER	季度
CALENDAR.YEAR	年

DATA.NO_DATA	无数据
DATA.NOTHING_TO_GRAPH	无可绘制内容
	
PREFS.MAIN_PERSPECTIVE	主视角
